EIN,NAME,Latitude,Longitude,STREET,CITY,STATE,ZIP
19818,PALMER SECOND BAPTIST CHURCH,42.1591412,-72.3294397,1050 THORNDIKE ST,PALMER,MA,01069-1507
29215,ST GEORGE CATHEDRAL,42.3364553,-71.0349193,523 E BROADWAY,SOUTH BOSTON,MA,02127-4415
587764,IGLESIA BETHESDA INC,42.6303002,71.2992993,157 ANDOVER ST,LOWELL,MA,01852-2348
635913,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,42.7073383,-71.1611903,454 ESSEX ST,LAWRENCE,MA,01840-1242
765634,MERCY CHAPEL INTERNATIONAL,42.299751,-71.109747,75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,02126-2433
841363,AGAPE HOUSE OF PRAYER,42.2837342,-71.0933014,39 GOODALE RD STE 2,MATTAPAN,MA,02126-1527
852649,BETHANY PRESBYTERIAN CHURCH,42.3341202,-71.1193674,32 HARVARD ST,BROOKLINE,MA,02445-7994
1028397,UNITY IN THE CITY,42.3691005,-71.1098047,955 MASSACHUSETTS AVE STE 117,CAMBRIDGE,MA,02139-3180
1037180,MIDDLESEX BARBARIANS R F C INC,42.4849491,-71.1405115,37 BOW ST,WOBURN,MA,01801-3636
2022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,40.626661,-74.00317,1230 65TH ST,BROOKLYN,NY,11219-5614
2030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,40.7698126,-74.1624845,569 BROADWAY,NEWARK,NJ,07104-4132
2045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,42.798329,-78.749409,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229
7764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,39.519037,-75.261291,PO BOX 102,DEERFIELD ST,NJ,08313-0102
10002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,44.419416,-68.250157,PO BOX 126,HULLS COVE,ME,04644-0126
10011694,MASSACHUSETTS MODERATORS ASSOCIATION,42.436091,-71.487363,30 SAMUEL PRESCOTT DR,STOW,MA,01775-1167
10015091,HANOVER SOCCER CLUB INC,39.814389,-77.001952,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013
10017496,AGAMENTICUS YACHT CLUB OF YORK,43.133392,-70.641354,PO BOX 534,YORK HARBOR,ME,03911-0534
10018555,ALPHA TAU OMEGA FRATERNITY,44.892763,-68.673168,81 COLLEGE AVE,ORONO,ME,04473-4210
10018605,AMALGAMATED TRANSIT UNION,36.686939,-121.78531,326 Reservation Rd,Marina,CA,93933
2022084,ST ROSALIAS ROMAN CATHOLIC CHURCH,40.626661,-74.00317,1230 65TH ST,BROOKLYN,NY,11219-5614
2030711,CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,40.7698126,-74.1624845,569 BROADWAY,NEWARK,NJ,07104-4132
2045409,GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,42.798329,-78.749409,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127-1229
7764840,TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,39.519037,-75.261291,PO BOX 102,DEERFIELD ST,NJ,08313-0102
10002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,44.419416,-68.250157,PO BOX 126,HULLS COVE,ME,04644-0126
10011694,MASSACHUSETTS MODERATORS ASSOCIATION,42.436091,-71.487363,30 SAMUEL PRESCOTT DR,STOW,MA,01775-1167
10015091,HANOVER SOCCER CLUB INC,39.814389,-77.001952,PO BOX 13,CEDAR KNOLLS,NJ,07927-0013
10017496,AGAMENTICUS YACHT CLUB OF YORK,43.133392,-70.641354,PO BOX 534,YORK HARBOR,ME,03911-0534
10018555,ALPHA TAU OMEGA FRATERNITY,44.892763,-68.673168,81 COLLEGE AVE,ORONO,ME,04473-4210
10018605,AMALGAMATED TRANSIT UNION,36.686939,-121.78531,326 Reservation Rd,Marina,CA,93933